               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.084919,            0.015409,           0.0093745,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,            0.006634,            0.006634,            0.006634
                  70,            0.074444,            0.010326,           0.0076857,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,           0.0065845,           0.0065845,           0.0065845
                  71,            0.076036,             0.01418,           0.0048764,             0.13224,             0.33333,            0.053518,            0.011638,            0.068391,            0.017979,           0.0049577,            0.006535,            0.006535,            0.006535
                  72,             0.06624,            0.016286,           0.0058265,             0.13224,             0.33333,            0.053518,            0.011638,            0.068391,            0.017979,           0.0049577,           0.0064855,           0.0064855,           0.0064855
                  73,            0.076667,            0.013542,           0.0053952,             0.13224,             0.33333,            0.053518,            0.011638,            0.068391,            0.017979,           0.0049577,            0.006436,            0.006436,            0.006436
                  74,            0.084864,            0.010707,           0.0061258,             0.13224,             0.33333,            0.053518,            0.011638,            0.068391,            0.017979,           0.0049577,           0.0063865,           0.0063865,           0.0063865
                  75,             0.04769,            0.012988,           0.0035598,             0.13224,             0.33333,            0.053518,            0.011638,            0.068391,            0.017979,           0.0049577,            0.006337,            0.006337,            0.006337
                  76,            0.067748,            0.016623,           0.0046062,           0.0089184,             0.33333,           0.0035192,          0.00070385,            0.068716,             0.01757,           0.0043228,           0.0062875,           0.0062875,           0.0062875
                  77,            0.069926,             0.01671,           0.0047769,           0.0089184,             0.33333,           0.0035192,          0.00070385,            0.068716,             0.01757,           0.0043228,            0.006238,            0.006238,            0.006238
                  78,            0.081297,            0.016904,           0.0064015,           0.0089184,             0.33333,           0.0035192,          0.00070385,            0.068716,             0.01757,           0.0043228,           0.0061885,           0.0061885,           0.0061885
                  79,            0.066331,             0.01394,           0.0050729,           0.0089184,             0.33333,           0.0035192,          0.00070385,            0.068716,             0.01757,           0.0043228,            0.006139,            0.006139,            0.006139
                  80,            0.072522,            0.016359,           0.0045913,           0.0089184,             0.33333,           0.0035192,          0.00070385,            0.068716,             0.01757,           0.0043228,           0.0060895,           0.0060895,           0.0060895
                  81,            0.047228,            0.010048,           0.0040571,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,             0.00604,             0.00604,             0.00604
                  82,            0.060801,            0.012679,           0.0038404,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,           0.0059905,           0.0059905,           0.0059905
                  83,            0.079591,            0.014418,           0.0050882,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,            0.005941,            0.005941,            0.005941
                  84,            0.086465,            0.016321,           0.0058808,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,           0.0058915,           0.0058915,           0.0058915
                  85,            0.084049,            0.014455,           0.0055376,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,            0.005842,            0.005842,            0.005842
                  86,            0.060826,            0.011032,           0.0044338,            0.017976,             0.66667,            0.017577,           0.0039007,            0.066769,            0.017768,           0.0039751,           0.0057925,           0.0057925,           0.0057925
